contract_id,name,candidate_cik,candidate_name,method,score,confirmed
c_355b5c8a02,"Columbia Laboratories, (Bermuda) Ltd.",821995,COLUMBIA LABORATORIES INC,edgar_name_index_fuzzy,0.8511,
c_355b5c8a02,Fleet Laboratories Limited,2097694,"LITLABORATORIES, INC.",edgar_name_index_fuzzy,0.875,
c_355b5c8a02,Fleet Laboratories Limited,38074,FOREST LABORATORIES INC,edgar_name_index_fuzzy,0.8571,
c_e3713663a0,"XACCT Technologies, Inc.",808439,TAT TECHNOLOGIES LTD,tickers_fuzzy,0.875,
c_e3713663a0,"XACCT Technologies, Inc.",1746420,"ACCENT TECHNOLOGIES, INC.",edgar_name_index_fuzzy,0.9143,
c_e3713663a0,"XACCT Technologies, Inc.",1077493,XACCT TECHNOLOGIES 1997 LTD,edgar_name_index_fuzzy,0.8947,
c_e3713663a0,"XACCT Technologies, Inc.",1603928,"XIANT TECHNOLOGIES, INC.",edgar_name_index_fuzzy,0.8824,
c_847299be55,Apollo Endosurgery,1369432,APOLLO ENDOSURGERY INC,edgar_name_index_exact_ambiguous,1.0,
c_847299be55,Apollo Endosurgery,1251769,"APOLLO ENDOSURGERY, INC.",edgar_name_index_exact_ambiguous,1.0,
c_ac9fb90de6,"NEUROBO PHARMACEUTICALS, INC.",1638287,"NEUROBO PHARMACEUTICALS, INC.",edgar_name_index_exact_ambiguous,1.0,
c_ac9fb90de6,"NEUROBO PHARMACEUTICALS, INC.",1784036,"NEUROBO PHARMACEUTICALS, INC.",edgar_name_index_exact_ambiguous,1.0,
c_ac9fb90de6,"NEUROBO PHARMACEUTICALS, INC.",1815974,"Anebulo Pharmaceuticals, Inc.",tickers_fuzzy,0.8636,
c_ac9fb90de6,"NEUROBO PHARMACEUTICALS, INC.",1719406,"NRX Pharmaceuticals, Inc.",tickers_fuzzy,0.85,
c_ac9fb90de6,"NEUROBO PHARMACEUTICALS, INC.",2014918,NEUROCK PHARMACEUTICALS INC.,edgar_name_index_fuzzy,0.9091,
c_ac9fb90de6,"NEUROBO PHARMACEUTICALS, INC.",1294710,NEUROMED PHARMACEUTICALS INC,edgar_name_index_fuzzy,0.8889,
c_ac9fb90de6,NeuroboPharmaceuticalsInc,1638287,"NEUROBO PHARMACEUTICALS, INC.",edgar_name_index_exact_ambiguous,1.0,
c_ac9fb90de6,NeuroboPharmaceuticalsInc,1784036,"NEUROBO PHARMACEUTICALS, INC.",edgar_name_index_exact_ambiguous,1.0,
c_ac9fb90de6,NeuroboPharmaceuticalsInc,1815974,"Anebulo Pharmaceuticals, Inc.",tickers_fuzzy,0.8636,
c_ac9fb90de6,NeuroboPharmaceuticalsInc,1719406,"NRX Pharmaceuticals, Inc.",tickers_fuzzy,0.85,
c_ac9fb90de6,NeuroboPharmaceuticalsInc,2014918,NEUROCK PHARMACEUTICALS INC.,edgar_name_index_fuzzy,0.9091,
c_ac9fb90de6,NeuroboPharmaceuticalsInc,1294710,NEUROMED PHARMACEUTICALS INC,edgar_name_index_fuzzy,0.8889,
c_77d41b13b0,"ADMA BioManufacturing, LLC",1487256,AUDUBON MANUFACTURING CORP,edgar_name_index_fuzzy,0.85,
c_26ad58ec08,HF ENTERPRISES INC.,1750106,HF ENTERPRISES INC.,edgar_name_index_exact_ambiguous,1.0,
c_26ad58ec08,HF ENTERPRISES INC.,1562256,"HF ENTERPRISES, INC.",edgar_name_index_exact_ambiguous,1.0,
c_26ad58ec08,HF ENTERPRISES INC.,1352952,CFN Enterprises Inc.,tickers_fuzzy,0.8889,
c_26ad58ec08,HF ENTERPRISES INC.,1987199,SHF ENTERPRISES LLC,edgar_name_index_fuzzy,0.963,
c_26ad58ec08,HF ENTERPRISES INC.,1662078,"HFV ENTERPRISES, INC.",edgar_name_index_fuzzy,0.963,
c_26ad58ec08,HfEnterprisesInc,1750106,HF ENTERPRISES INC.,edgar_name_index_exact_ambiguous,1.0,
c_26ad58ec08,HfEnterprisesInc,1562256,"HF ENTERPRISES, INC.",edgar_name_index_exact_ambiguous,1.0,
c_26ad58ec08,HfEnterprisesInc,1352952,CFN Enterprises Inc.,tickers_fuzzy,0.8889,
c_26ad58ec08,HfEnterprisesInc,1987199,SHF ENTERPRISES LLC,edgar_name_index_fuzzy,0.963,
c_26ad58ec08,HfEnterprisesInc,1662078,"HFV ENTERPRISES, INC.",edgar_name_index_fuzzy,0.963,
c_44cd6bcdc3,"ARTARA THERAPEUTICS, INC.",1359931,"ARTARA THERAPEUTICS, INC.",edgar_name_index_exact_ambiguous,1.0,
c_44cd6bcdc3,"ARTARA THERAPEUTICS, INC.",1724697,"ARTARA THERAPEUTICS, INC.",edgar_name_index_exact_ambiguous,1.0,
c_44cd6bcdc3,"ARTARA THERAPEUTICS, INC.",1604464,"Atara Biotherapeutics, Inc.",tickers_fuzzy,0.8947,
c_44cd6bcdc3,"ARTARA THERAPEUTICS, INC.",1601936,Altamira Therapeutics Ltd.,tickers_fuzzy,0.8947,
c_44cd6bcdc3,"ARTARA THERAPEUTICS, INC.",1509190,"ARATANA THERAPEUTICS, INC.",edgar_name_index_fuzzy,0.9189,
c_44cd6bcdc3,ArtaraTherapeuticsInc,1359931,"ARTARA THERAPEUTICS, INC.",edgar_name_index_exact_ambiguous,1.0,
c_44cd6bcdc3,ArtaraTherapeuticsInc,1724697,"ARTARA THERAPEUTICS, INC.",edgar_name_index_exact_ambiguous,1.0,
c_44cd6bcdc3,ArtaraTherapeuticsInc,1604464,"Atara Biotherapeutics, Inc.",tickers_fuzzy,0.8947,
c_44cd6bcdc3,ArtaraTherapeuticsInc,1601936,Altamira Therapeutics Ltd.,tickers_fuzzy,0.8947,
c_44cd6bcdc3,ArtaraTherapeuticsInc,1509190,"ARATANA THERAPEUTICS, INC.",edgar_name_index_fuzzy,0.9189,
c_eaf1e483cb,ASIANDRAGONGROUPINC,1369237,ASIAN DRAGON GROUP INC,edgar_name_index_exact_ambiguous,1.0,
c_eaf1e483cb,ASIANDRAGONGROUPINC,1314259,ASIAN DRAGON GROUP INC.,edgar_name_index_exact_ambiguous,1.0,
c_bbc753fe12,PLAYBOY ENTERPRISES INC,79114,PLAYBOY ENTERPRISES INC,edgar_name_index_exact_ambiguous,1.0,
c_bbc753fe12,PLAYBOY ENTERPRISES INC,1072341,PLAYBOY ENTERPRISES INC,edgar_name_index_exact_ambiguous,1.0,
c_bbc753fe12,PLAYBOY ENTERPRISES INC,1207794,PLAN B ENTERPRISES,edgar_name_index_fuzzy,0.8824,
c_bbc753fe12,PlayboyEnterprisesInc,79114,PLAYBOY ENTERPRISES INC,edgar_name_index_exact_ambiguous,1.0,
c_bbc753fe12,PlayboyEnterprisesInc,1072341,PLAYBOY ENTERPRISES INC,edgar_name_index_exact_ambiguous,1.0,
c_bbc753fe12,PlayboyEnterprisesInc,1207794,PLAN B ENTERPRISES,edgar_name_index_fuzzy,0.8824,
c_2be8a486d3,"PARATEK PHARMACEUTICALS, INC.",1037643,PARATEK PHARMACEUTICALS INC,edgar_name_index_exact_ambiguous,1.0,
c_2be8a486d3,"PARATEK PHARMACEUTICALS, INC.",1178711,"PARATEK PHARMACEUTICALS, INC.",edgar_name_index_exact_ambiguous,1.0,
c_2be8a486d3,"PARATEK PHARMACEUTICALS, INC.",921114,"Armata Pharmaceuticals, Inc.",tickers_fuzzy,0.8837,
c_2be8a486d3,"PARATEK PHARMACEUTICALS, INC.",1593899,"Atea Pharmaceuticals, Inc.",tickers_fuzzy,0.878,
c_2be8a486d3,"PARATEK PHARMACEUTICALS, INC.",1671858,"ARS Pharmaceuticals, Inc.",tickers_fuzzy,0.85,
c_2be8a486d3,"PARATEK PHARMACEUTICALS, INC.",1371564,PARVATA PHARMACEUTICALS INC,edgar_name_index_fuzzy,0.9091,
c_2be8a486d3,"PARATEK PHARMACEUTICALS, INC.",1363584,NAREK PHARMACEUTICALS,edgar_name_index_fuzzy,0.9048,
c_2be8a486d3,ParatekPharmaceuticalsInc,1037643,PARATEK PHARMACEUTICALS INC,edgar_name_index_exact_ambiguous,1.0,
c_2be8a486d3,ParatekPharmaceuticalsInc,1178711,"PARATEK PHARMACEUTICALS, INC.",edgar_name_index_exact_ambiguous,1.0,
c_2be8a486d3,ParatekPharmaceuticalsInc,921114,"Armata Pharmaceuticals, Inc.",tickers_fuzzy,0.8837,
c_2be8a486d3,ParatekPharmaceuticalsInc,1593899,"Atea Pharmaceuticals, Inc.",tickers_fuzzy,0.878,
c_2be8a486d3,ParatekPharmaceuticalsInc,1671858,"ARS Pharmaceuticals, Inc.",tickers_fuzzy,0.85,
c_2be8a486d3,ParatekPharmaceuticalsInc,1371564,PARVATA PHARMACEUTICALS INC,edgar_name_index_fuzzy,0.9091,
c_2be8a486d3,ParatekPharmaceuticalsInc,1363584,NAREK PHARMACEUTICALS,edgar_name_index_fuzzy,0.9048,
c_2be8a486d3,"Paratek Pharmaceuticals, Inc.",1037643,PARATEK PHARMACEUTICALS INC,edgar_name_index_exact_ambiguous,1.0,
c_2be8a486d3,"Paratek Pharmaceuticals, Inc.",1178711,"PARATEK PHARMACEUTICALS, INC.",edgar_name_index_exact_ambiguous,1.0,
c_2be8a486d3,"Paratek Pharmaceuticals, Inc.",921114,"Armata Pharmaceuticals, Inc.",tickers_fuzzy,0.8837,
c_2be8a486d3,"Paratek Pharmaceuticals, Inc.",1593899,"Atea Pharmaceuticals, Inc.",tickers_fuzzy,0.878,
c_2be8a486d3,"Paratek Pharmaceuticals, Inc.",1671858,"ARS Pharmaceuticals, Inc.",tickers_fuzzy,0.85,
c_2be8a486d3,"Paratek Pharmaceuticals, Inc.",1371564,PARVATA PHARMACEUTICALS INC,edgar_name_index_fuzzy,0.9091,
c_2be8a486d3,"Paratek Pharmaceuticals, Inc.",1363584,NAREK PHARMACEUTICALS,edgar_name_index_fuzzy,0.9048,
c_1876704bfb,NEXSTARFINANCEHOLDINGSINC,1158165,NEXSTAR FINANCE HOLDINGS INC,edgar_name_index_exact_ambiguous,1.0,
c_1876704bfb,NEXSTARFINANCEHOLDINGSINC,1158168,NEXSTAR FINANCE HOLDINGS LLC,edgar_name_index_exact_ambiguous,1.0,
c_579ee4681e,"SPIENERGYCO,LTD",1210618,"SPI ENERGY CO., LTD.",edgar_name_index_exact_ambiguous,1.0,
c_579ee4681e,"SPIENERGYCO,LTD",1641771,"SPI ENERGY CO., LTD.",edgar_name_index_exact_ambiguous,1.0,
c_579ee4681e,"Solar Power, Inc.",1373744,SOLAR POWER INC,edgar_name_index_exact_ambiguous,1.0,
c_579ee4681e,"Solar Power, Inc.",1210618,"SOLAR POWER, INC.",edgar_name_index_exact_ambiguous,1.0,
c_579ee4681e,"Solar Power, Inc.",1622345,"Polar Power, Inc.",tickers_fuzzy,0.9,
c_579ee4681e,"Solar Power, Inc.",1806220,GOLAR POWER LTD,edgar_name_index_fuzzy,0.9,
